date,spy_voltarget,momentum_hrp,momentum_ml_hrp,momentum_equal,SPY
2025-04-23,132034.56509133748,116095.80929149143,101553.76126077464,115425.41655423278,131035.24969906943
2025-04-24,132613.00625759875,116171.18573464929,101619.69612405571,115500.35773775155,133793.39706769318
2025-04-25,132858.2600775705,116211.87080653882,101655.28502345494,115540.80787457428,134760.0946813634
2025-04-28,132880.27879061407,116320.47160532553,101750.28259192896,115648.78156039963,134811.48873171047
2025-04-29,133054.49913951356,116415.41299356052,101833.33171431696,115743.17471164375,135660.7142303018
2025-04-30,133076.97859477173,116454.45181300136,101867.48056924628,115781.98810226693,135714.5556163796
2025-05-01,133298.04237593812,116309.71200928956,101740.87073241596,115638.08409541803,136676.35855858825
2025-05-02,133744.5093807136,116298.77789229101,101731.30621226622,115627.21311724135,138705.19987943035
2025-05-05,133584.88384830666,116344.79897706429,101771.562740771,115672.96845425697,137909.81576691684
2025-05-06,133375.62483048698,116508.39385383122,101914.66588256453,115835.61865594987,136757.120637705
2025-05-07,133492.36764498934,116522.71641410295,101927.19441288232,115849.85851090739,137332.24453444552
2025-05-08,133709.07432901452,116338.76679143956,101766.28614084414,115666.97110135751,138289.1528051925
2025-05-09,133701.168134186,116371.60823573776,101795.01389780689,115699.62290344664,138112.94463257416
2025-05-12,134733.3732423237,116187.19199975813,101633.69745998213,115516.27157502902,142677.2257705362
2025-05-13,134963.79435842732,116125.68662577002,101579.8961892527,115455.12136249141,143619.45002689832
2025-05-14,135004.08940243456,115965.98080771219,101440.1949664611,115296.3377622223,143803.00020670914
2025-05-15,135169.43581631663,116299.93004244653,101732.3140452151,115628.35861433073,144505.38556145184
2025-05-16,135584.20471374344,117195.060829302,102361.43075378514,116482.2363837301,145420.6891247751
2025-05-19,135653.3235895902,117398.92650852108,102444.6253410103,116669.29702637983,145579.7659472778
2025-05-20,135456.58989961658,117368.71642960374,102261.19620757984,116561.18460201334,145090.29880111566
2025-05-21,134400.76372538728,115979.58980732996,101068.97371596967,115115.45365325062,142645.4104060357
2025-05-22,134441.14390117954,115566.42216277926,100836.67984720101,114693.43901177797,142701.69912784436
2025-05-23,133887.22856325094,115518.567619073,100904.00087073095,114628.01530963939,141727.65950698167
2025-05-27,135604.9330030765,116761.3909068052,101852.41485810977,115883.96436572738,144674.25172687782
2025-05-28,135126.48201214545,116330.24942959884,101351.92582380718,115452.70640077152,143837.26290694054
2025-05-29,135461.27501577206,116525.9761652702,101498.165463646,115655.07334563894,144405.04479648866
2025-05-30,135384.74220710716,116746.70202436176,101805.16669855677,115844.2799359178,144243.52063825517
2025-06-02,135864.61088350991,116940.76407551693,101965.37611807094,116030.27580342475,145056.03610088435
2025-06-03,136354.0964011382,116988.8327392335,102006.83615160553,116090.99490845155,145883.23557789836
2025-06-04,136331.51139567452,116747.59314805655,101794.64958083213,115854.0404830852,145844.07820620536
2025-06-05,135930.64730914935,116391.67245837436,101485.25344443686,115445.41704381195,145139.24551573186
2025-06-06,136809.0835334233,117057.84306881191,102080.37892041475,116153.71773170271,146629.67297579563
2025-06-09,136896.62354224006,116808.37755089221,101850.54184437545,116058.39407472187,146761.82910525938
2025-06-10,137381.30761978746,117011.42945222592,102027.0985531664,116392.42076351486,147593.92325373506
2025-06-11,137139.5250271237,116946.4647457662,101970.65993857538,116250.28859727568,147172.98150803562
2025-06-12,137585.63433989743,117108.74121171291,102112.5563889787,116208.94045739925,147757.89474769938
2025-06-13,136298.9253732744,116320.95565863133,101426.81244244214,115484.39805960048,146105.94312940212
2025-06-16,137391.64443897962,116740.11698761357,101896.71070361308,116051.72997619786,147496.0298245026
2025-06-17,136407.07772164233,116139.34168567242,101363.8654006482,115404.95986327322,146235.65192313507
2025-06-18,136394.45182633787,116175.8151924217,101438.20779483869,115426.00480914445,146213.62590155783
2025-06-20,136152.02947303414,116272.10067724172,101423.97108315941,115460.14934164727,145871.27226664542
2025-06-23,137186.98022740483,117266.33495438073,102337.27921937952,116446.39269160294,147312.115586638
2025-06-24,138345.4029184764,117939.76669320623,102927.39720642078,117084.41666928548,148939.50761586305
2025-06-25,138408.21278275867,117338.6041330736,102247.97797634745,116567.89920199687,149022.96361736176
2025-06-26,139239.4865752294,118022.24341190858,102644.15241763798,117229.86657040777,150188.89305006448
2025-06-27,139910.5217314668,118508.67277248028,103117.31146915407,117853.66029850957,150935.0878869942
2025-06-30,140574.48182942925,118894.92343413776,103434.60136964482,118131.43010054089,151656.73684113022
2025-07-01,140529.51557055293,119105.05592199367,103597.6166742219,118273.12484340106,151607.6450755427
2025-07-02,141161.84495605584,118909.95647563577,103538.30858094979,118232.35382945216,152294.92979376746
2025-07-03,142266.50940822862,119550.01075311612,103952.48228158763,118790.13995101952,153495.2234623814
2025-07-07,141214.539454376,119202.25251232526,103483.07972464146,118324.48807286538,152351.38532419305
2025-07-08,141137.96120963868,118718.48675959342,103129.05487215039,117969.12485720123,152267.92932269437
2025-07-09,141954.97161080496,119199.30849603098,103532.6146806159,118374.92834646226,153181.03616262152
2025-07-10,142342.27238690061,119650.39903680538,103923.0842612346,118771.16596864293,153613.0436997914
2025-07-11,141860.65906982947,119303.98642371871,103627.63651275713,118475.5262216761,153073.03427832908
2025-07-14,142122.34421548859,119755.24925178126,104014.47683206377,118909.07268837231,153365.1302835746
2025-07-15,141512.51340111325,118889.19975475654,103271.36326806921,118088.66604060194,152709.75521298172
2025-07-16,141985.6320365881,119139.90362107831,103485.74706896981,118321.6450148537,153220.30957509155
2025-07-17,142854.5326075082,119629.65997375142,103946.62477354218,118742.51837306395,154157.96229781245
2025-07-18,142749.9006015859,120057.24235941695,104193.0838049491,119036.8434032716,154045.05123696127
2025-07-21,143020.57905168924,120165.10969489053,104439.5148326987,119234.1034680918,154337.14724220673
2025-07-22,143041.05053110883,120709.7970917716,105049.43627802048,119702.27849550551,154359.23853672112
2025-07-23,144257.96625216192,121046.6302086183,105166.89476508097,120114.9861536095,155672.44326618628
2025-07-24,144305.73303747425,120894.66628988454,105018.75988225426,119851.29210521649,155723.98962005312
2025-07-25,144915.328202413,121235.94498183783,105313.80953696738,120144.93706111418,156381.8192789254
2025-07-28,144878.93446122264,120761.92070088012,104904.30319178074,119861.03479333961,156342.54586645542
2025-07-29,144496.8001787237,120655.57463540215,104818.61731287227,119574.13358461938,155930.17503552054
2025-07-30,144314.83147277185,120729.12641617417,104884.60263735398,119542.88941962217,155733.80797317062
2025-07-31,143773.4745725651,120793.50596678417,104943.69256046461,119552.30111436527,155149.61596267959
2025-08-01,141416.9798304885,119738.01803725296,104269.30263768618,118476.56430051698,152606.662505248
2025-08-04,143566.48516954482,120594.12507793246,105300.6349333174,119317.32467774706,154926.24842925652
2025-08-05,142838.6103457374,120315.76183188951,104827.75395010371,119068.49516403949,154140.7801798568
2025-08-06,143932.69719027294,120682.37114811873,104922.20587052955,119582.13063089341,155321.43714223575
2025-08-07,143812.14292257983,120388.75276561393,104924.01834890603,119387.30669608944,155191.34396342892
2025-08-08,144933.52507300818,120700.7414341856,105098.7630127389,119708.08609570203,156401.45598516037
2025-08-11,144646.924361134,120715.32081507612,105083.80707687695,119682.28853191479,156092.17786195924
2025-08-12,146186.83453525166,121606.78019271352,105812.69054059824,120499.74110329678,157753.93412709556
2025-08-13,146651.18360769845,122012.3282677633,106164.31750583959,120884.98662720816,158293.94354855787
2025-08-14,146664.9812038861,121931.84289985755,106082.00330109692,120811.83221331886,158308.67107823413
2025-08-15,146347.94387485948,121684.28702564532,105845.2241167461,120567.60478378895,157938.02824804862
